                Time          Cycles PC       Instr    Mnemonic
                4501               3 0000000a 00800013 addi             x0, x0, 8          
              161501             160 0000027c 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              162501             161 00000280 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              163501             162 00000284 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              164501             163 00000288 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              165501             164 0000028c 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              166501             165 00000290 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              167501             166 00000294 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              168501             167 00000298 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              169501             168 0000029c 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              170501             169 000002a0 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              171501             170 000002a4 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              172501             171 000002a8 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              173501             172 000002ac 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              174501             173 000002b0 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              175501             174 000002b4 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              176501             175 000002b8 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              177501             176 000002bc 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              178501             177 000002c0 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              179501             178 000002c4 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              180501             179 000002c8 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              181501             180 000002cc 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              182501             181 000002d0 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              183501             182 000002d4 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              184501             183 000002d8 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              185501             184 000002dc 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              186501             185 000002e0 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              187501             186 000002e4 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              188501             187 000002e8 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              189501             188 000002ec 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              190501             189 000002f0 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              191501             190 000002f4 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              192501             191 000002f8 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              193501             192 000002fc 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              194501             193 00000300 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              195501             194 00000304 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              196501             195 00000308 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              197501             196 0000030c 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              198501             197 00000310 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              199501             198 00000314 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              200501             199 00000318 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              201501             200 0000031c 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              202501             201 00000320 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              203501             202 00000324 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
